name	type	units	status
G2-DU-Y	MEGMAG	fT	good
G2-DU-Z	MEGMAG	fT	good
G2-N2-Y	MEGMAG	fT	good
G2-N2-Z	MEGMAG	fT	good
G2-DG-Y	MEGMAG	fT	good
G2-DG-Z	MEGMAG	fT	good
G2-MW-Y	MEGMAG	fT	good
G2-MW-Z	MEGMAG	fT	good
G2-DL-Y	MEGMAG	fT	good
G2-DL-Z	MEGMAG	fT	good
G2-DM-Y	MEGMAG	fT	good
G2-DM-Z	MEGMAG	fT	good
G2-1C-Y	MEGMAG	fT	good
G2-1C-Z	MEGMAG	fT	good
G2-1A-Y	MEGMAG	fT	good
G2-1A-Z	MEGMAG	fT	good
G2-OH-Y	MEGMAG	fT	good
G2-OH-Z	MEGMAG	fT	good
G2-MY-Y	MEGMAG	fT	good
G2-MY-Z	MEGMAG	fT	good
G2-AA-Y	MEGMAG	fT	good
G2-AA-Z	MEGMAG	fT	good
G2-1B-Y	MEGMAG	fT	good
G2-1B-Z	MEGMAG	fT	good
G2-DS-Y	MEGMAG	fT	good
G2-DS-Z	MEGMAG	fT	good
G2-MT-Y	MEGMAG	fT	good
G2-MT-Z	MEGMAG	fT	good
G2-DH-Y	MEGMAG	fT	good
G2-DH-Z	MEGMAG	fT	good
G2-DK-Y	MEGMAG	fT	good
G2-DK-Z	MEGMAG	fT	good
G2-DT-Y	MEGMAG	fT	good
G2-DT-Z	MEGMAG	fT	good
G2-OF-Y	MEGMAG	fT	good
G2-OF-Z	MEGMAG	fT	good
G2-19-Y	MEGMAG	fT	good
G2-19-Z	MEGMAG	fT	good
G2-A7-Y	MEGMAG	fT	good
G2-A7-Z	MEGMAG	fT	good
G2-DI-Y	MEGMAG	fT	good
G2-DI-Z	MEGMAG	fT	good
G2-DR-Y	MEGMAG	fT	good
G2-DR-Z	MEGMAG	fT	good
G2-MZ-Y	MEGMAG	fT	good
G2-MZ-Z	MEGMAG	fT	good
G2-OI-Y	MEGMAG	fT	good
G2-OI-Z	MEGMAG	fT	good
G2-A6-Y	MEGMAG	fT	good
G2-A6-Z	MEGMAG	fT	good
G2-N3-Y	MEGMAG	fT	good
G2-N3-Z	MEGMAG	fT	good
G2-17-Y	MEGMAG	fT	good
G2-17-Z	MEGMAG	fT	good
G2-DQ-Y	MEGMAG	fT	good
G2-DQ-Z	MEGMAG	fT	good
G2-A1-Y	MEGMAG	fT	good
G2-A1-Z	MEGMAG	fT	good
G2-A8-Y	MEGMAG	fT	good
G2-A8-Z	MEGMAG	fT	good
G2-35-Y	MEGMAG	fT	good
G2-35-Z	MEGMAG	fT	good
G2-A4-Y	MEGMAG	fT	good
G2-A4-Z	MEGMAG	fT	good
G2-DO-Y	MEGMAG	fT	good
G2-DO-Z	MEGMAG	fT	good
G2-OG-Y	MEGMAG	fT	good
G2-OG-Z	MEGMAG	fT	good
G2-A3-Y	MEGMAG	fT	good
G2-A3-Z	MEGMAG	fT	good
G2-18-Y	MEGMAG	fT	good
G2-18-Z	MEGMAG	fT	good
G2-A9-Y	MEGMAG	fT	good
G2-A9-Z	MEGMAG	fT	good
NI-TRIG-1	TRIG	V	good
NI-TRIG-2	TRIG	V	good
NI-TRIG-3	TRIG	V	good
NI-TRIG-4	TRIG	V	good
NI-TRIG-5	TRIG	V	good
NI-TRIG-6	TRIG	V	good
NI-TRIG-7	TRIG	V	good
NI-TRIG-8	TRIG	V	good
